username,display_name,platform,followers_count,following_count,posts_count,account_age_days,has_profile_pic,has_bio,is_verified,has_url,avg_likes_per_post,avg_retweets_per_post,posting_frequency_per_day
fake_shop01,Nike_Deals_Official,Instagram,120000,5,12,18,1,1,0,1,15,0,8.5
elon_musk__real,Elon Musk Giveaway,Twitter/X,85000,2,25,10,1,1,1,1,8,120,12.0
crypto_airdropx,Crypto Airdrop,Twitter/X,54000,12,40,22,1,1,0,1,3,45,9.0
prize_claim247,Amazon Rewards,Facebook,30000,20,18,15,1,1,0,1,5,0,6.5
insta_growth_hub,Grow Fast Today,Instagram,42000,15,30,40,1,1,0,1,20,0,5.2
viral_memes001,Funny Clips,Instagram,18000,3000,4500,60,0,0,0,0,6,0,40.0
job_offer_hr,HR Recruitment,LinkedIn,25000,30,8,12,1,1,0,1,2,0,1.8
support_team_meta,Meta Support,Instagram,65000,8,15,20,1,1,1,1,4,0,7.5
win_iphone_now,Apple Lucky Draw,Twitter/X,92000,4,9,8,1,1,0,1,2,60,15.0
official_bank_help,Bank Customer Care,Facebook,47000,6,11,14,1,1,1,1,1,0,3.5
free_crypto100,BTC Giveaway,Twitter/X,110000,1,16,7,1,1,0,1,7,90,14.0
luxury_brand_sale,Luxury Outlet,Instagram,38000,18,22,30,1,1,0,1,18,0,6.8
instant_followers,Follower Booster,Instagram,52000,9,28,25,1,1,0,1,12,0,10.0
gov_scheme_help,Gov Benefits,Facebook,21000,11,14,16,0,1,0,1,1,0,4.8
real_news_global,Breaking News 24,Twitter/X,73000,14,90,35,1,1,0,1,10,75,11.2
