username,display_name,platform,followers_count,posts_count,account_age_days,has_profile_pic,has_bio,is_verified,has_url,avg_likes_per_post,avg_retweets_per_post,posting_frequency_per_day
user_52286,Fake User 1,LinkedIn,576,19,64,0,0,0,1,17.2,5.9,1.06
user_13690,Fake User 2,Instagram,144,11,49,1,0,0,0,2.3,5.2,0.49
user_93289,Fake User 3,Instagram,151,0,92,0,1,0,1,17.4,1.2,1.08
user_68454,Fake User 4,LinkedIn,107,8,48,1,0,0,0,17.8,9.6,0.09
user_75337,Fake User 5,Facebook,675,22,53,0,0,0,1,0.4,7.7,1.98
user_97711,Fake User 6,Twitter/X,664,22,9,0,1,0,0,20.3,5.9,1.54
user_78525,Fake User 7,Instagram,462,16,52,0,0,0,0,16.8,5.4,1.5
user_83553,Fake User 8,Instagram,75,28,121,0,0,0,0,14.8,9.1,0.97
user_79788,Fake User 9,LinkedIn,534,2,66,1,0,0,0,18.6,2.1,0.0
user_75426,Fake User 10,LinkedIn,252,0,41,0,0,0,0,20.1,9.8,0.54
user_28226,Fake User 11,Twitter/X,547,20,81,1,0,0,0,2.8,3.1,1.04
user_32345,Fake User 12,Instagram,417,2,78,0,1,0,0,6.8,0.5,0.76
user_93465,Fake User 13,Instagram,781,11,60,1,1,0,1,8.2,6.5,2.0
user_30998,Fake User 14,LinkedIn,773,24,14,1,0,0,0,2.0,5.9,1.84
user_30635,Fake User 15,Instagram,553,7,122,1,0,0,0,21.8,0.3,0.03
user_82403,Fake User 16,Twitter/X,46,26,165,0,1,0,0,8.2,1.2,0.53
user_80531,Fake User 17,Instagram,712,8,129,1,0,0,0,18.6,6.1,0.92
user_16202,Fake User 18,LinkedIn,87,16,17,0,0,0,1,19.0,4.8,0.53
user_47994,Fake User 19,Twitter/X,681,4,73,1,0,0,1,13.3,8.8,1.06
user_92951,Fake User 20,Instagram,241,11,148,1,0,0,0,15.1,7.7,1.44
user_39402,Fake User 21,Instagram,480,11,148,0,1,0,0,2.3,2.4,0.15
user_40639,Fake User 22,LinkedIn,270,26,129,0,1,0,0,23.2,5.7,0.27
user_76763,Fake User 23,Twitter/X,787,19,94,1,1,0,1,7.1,0.1,1.78
user_49343,Fake User 24,LinkedIn,367,24,84,0,0,0,0,3.6,0.3,0.03
user_10746,Fake User 25,Twitter/X,232,32,107,0,1,0,1,18.3,5.0,1.84
user_16311,Fake User 26,Instagram,492,5,69,0,0,0,1,6.7,6.1,1.02
user_16514,Fake User 27,Instagram,699,7,139,1,0,0,0,4.1,2.9,0.88
user_65695,Fake User 28,Instagram,629,18,80,0,1,0,0,3.0,0.3,1.58
user_59634,Fake User 29,Instagram,649,3,85,0,0,0,0,19.4,5.4,0.27
user_14502,Fake User 30,Twitter/X,169,38,8,0,1,0,1,23.9,9.9,0.27
user_14520,Fake User 31,LinkedIn,588,30,93,0,1,0,0,0.4,5.3,0.22
user_25470,Fake User 32,Instagram,129,7,49,1,0,0,0,6.9,4.9,1.76
user_85244,Fake User 33,Facebook,682,11,31,0,0,0,0,23.0,1.4,0.52
user_11306,Fake User 34,LinkedIn,508,25,139,0,0,0,0,1.1,6.7,1.56
user_14279,Fake User 35,Instagram,717,33,25,0,0,0,0,14.2,8.4,1.37
user_47728,Fake User 36,LinkedIn,751,14,77,0,0,0,1,9.7,6.6,1.27
user_84645,Fake User 37,LinkedIn,672,38,94,0,1,0,0,12.6,3.3,0.35
user_53629,Fake User 38,Instagram,688,17,73,1,0,0,0,4.9,1.3,0.68
user_57104,Fake User 39,Facebook,641,18,56,1,1,0,1,2.5,5.6,0.85
user_95113,Fake User 40,Twitter/X,538,5,13,0,0,0,0,22.0,5.9,0.84
user_26215,Fake User 41,Twitter/X,20,17,64,0,0,0,0,20.2,0.9,0.45
user_17726,Fake User 42,Facebook,7,3,125,1,0,0,0,9.6,9.0,0.16
user_14823,Fake User 43,LinkedIn,308,39,125,0,1,0,1,21.3,9.9,1.18
user_66823,Fake User 44,Instagram,507,22,73,1,0,0,0,1.6,2.8,1.02
user_53847,Fake User 45,LinkedIn,170,39,54,1,0,0,1,13.6,2.6,1.95
user_36312,Fake User 46,LinkedIn,620,19,89,0,1,0,0,23.0,5.9,0.59
user_85751,Fake User 47,Twitter/X,22,34,14,1,1,0,0,13.7,1.1,0.0
user_36288,Fake User 48,LinkedIn,261,23,165,1,0,0,0,9.5,3.2,0.81
